mission_id,name,start_date,end_date,commander_id,supervisor_id,description
M2675970,Rigel Volcanic Study,2055-08-02,2057-04-15,E8541698,E8367340,Mission to study volcanic activity and assess potential hazards
M5386695,Rigel Rover,2049-03-15,,E8541698,E4232170,Robotic rover mission to collect samples and data on the planet's geology
M1579934,Centaurus Water Study,2067-02-04,2069-06-19,E8483883,E7947414,Mission to study water resources and assess their potential for human consumption and industrial use
M2130866,Centaurus Life,2061-10-23,2063-02-05,E1783092,E0162206,Mission to study microbial life forms and their potential impact on the planet's ecosystem
M4512143,Orion Ring Study,2057-04-15,,E5502287,E4232170,Mission to study the planet's ring system and assess potential hazards
M8671293,Orion Exobiology,2068-11-18,,E8541698,E0380472,Mission to study microbial life forms and assess their potential for extraterrestrial colonization
M6186051,Orionus Atmosphere Analysis,2067-01-28,2068-03-03,E8961035,E4232170,Mission to study the atmospheric composition and behavior during a storm
M1534461,Orionus Probe,2040-11-12,2041-06-10,E7843495,E0380472,Robotic probe mission to collect data on the planet's internal structure and composition
M1718947,Canopus Terraforming,2072-03-20,2074-09-05,E6793306,E0380472,Mission to assess the feasibility of terraforming the planet for future human colonization
M7249932,Canopus Dust Study,2060-07-15,,E1783092,E0162206,Mission to understand the behavior and effects of the planet’s dust storms
M3717431,Cygnus Radiation Shielding,2048-12-02,2050-06-09,E3357916,E7947414,Mission to test various radiation shielding materials and designs
M7553000,Cygnus Cloud Study,2075-01-10,,E7843495,E8367340,Mission to study the planet's dense cloud cover and atmospheric conditions
M5797864,Leo Seismology Study,2063-09-09,2065-04-03,E1783092,E4232170,Mission to study the planet’s fractional surface and seismic activity
M7994582,Leo Geology Study,2043-04-27,,E3357916,E8367340,Mission to collect samples and data on the planet’s unique geology
M7664491,Sirius Exobiology,2054-11-03,,E8541698,E0380472,Mission to study the diversity and potential of the planet’s plant life
M3764122,Sirius Fauna Study,2058-08-11,2060-03-22,E6428947,E0162206,Mission to study the planet’s animal life
M3463242,Gareon Thermal Mapping,2060-05-11,2063-02-18,E7843495,E7947414,Mission to map the heat distribution and volcanic activity on the planet
M7130145,Gareon Geology Study,2050-06-28,,E5085375,E0162206,Mission to analyze the planet’s unique mineral and rock formations
M1660294,Polaris Lightning Study,2065-08-04,2066-12-22,E7843495,E0380472,Mission to study the behavior and effects of lightning in the planet’s atmosphere
M0421762,Polaris Magnetosphere Study,2070-11-15,,E3357916,E0380472,Mission to study the planet’s magnetosphere using magnetic field sensors
M3857281,Andromeda Marine Biology Study,2047-10-01,2050-02-28,E3487347,E8367340,Mission to study the diverse marine life and ecosystems of the planet
M0023560,Andromeda Oceanography Study,2072-11-01,,E8483883,E0380472,"Mission to study the planet’s ocean currents, tides, and weather patterns"
M2610497,Orionus Climate Study,2060-08-25,2063-05-01,E1783092,E4232170,Mission to study the extreme climate variations and atmospheric composition of the planet
M7762692,Orionus Soil Analysis,2055-01-10,,E3357916,E7947414,Mission to analyze soil samples and map the planet’s terrain features
M7510474,Vega Solar Radiation Study,2056-09-09,2059-06-03,E6428947,E4232170,Mission to study the planet’s magnetosphere and its interaction with the intense solar radiation
M5770583,Vega Ice Geology Study,2043-11-29,,E1783092,E0380472,Mission to study the planet’s ice formations and their geologic history
M8739103,Bellatrix Atmosphere Study,2043-12-23,2046-02-15,E7870753,E0162206,Mission to study the atmospheric conditions and the effects of the planet’s magnetic anomaly
M3636567,Bellatrix Magnetic Field Study,2065-03-12,,E2676502,E4232170,Mission to study the planet’s magnetic anomaly and map its extent and properties
M6183470,Antares Exobiology Study,2046-08-11,2048-11-22,E5502287,E8367340,Mission to study the unique and potentially dangerous lifeforms on the planet
M9431654,Antares Atmospheric Analysis,2057-06-03,,E3487347,E0380472,Mission to analyze the planet’s toxic atmosphere and find possible ways to mitigate its effects
M5598106,Project Phoenix,2055-07-15,2057-02-20,E1783092,E4232170,Reconnaissance mission to study the surface characteristics and mineral composition of Planet X-781.
M8290759,Project Dawn,2060-10-10,,E5502287,E0162206,Exploration mission to investigate potential subsurface water deposits on Planet X-781.
M3162251,Mission Atlas,2063-11-25,2065-08-15,E9901102,E0380472,Mapping mission to study the atmospheric conditions and moons of Planet Y-192.
M9377378,Operation Delta,2070-12-08,2073-03-30,E3349141,E0162206,Joint mission with the Engineering department to test new spacecraft propulsion technology and study asteroid belt formations around Planet Y-192.
M0714742,Project Phoenix,2069-03-01,2070-04-01,E9901102,E0162206,Recon mission to study the geology and atmosphere of Zaknafein.
M5593867,Project Dawn II,2071-06-28,,E7843495,E7947414,Exploratory mission to investigate the possibility of underground water sources.
M3426388,Mission Atlas,2071-12-17,2073-03-30,E9537978,E0380472,An exploratory mission to study the geology and history of Viburnum.
M1123299,Habitat Hunt,2074-06-06,,E1783092,E7947414,Recon mission to collect rock and soil samples and search for viable environments for a potential permanent settlement.
M4620739,Project Polar,2067-06-28,2068-01-28,E0692717,E0162206,A mission to study the planet's unique magnetic field and its effects on the atmosphere and radiation levels.
M8639893,Deep Freeze,2070-06-25,2071-05-22,E7843495,E7947414,Exploration mission to study the behavior of ice particles in Maeve's atmosphere and their potential to form ice crystals.
M6488692,Ring Watch,2059-11-05,2061-09-30,E8541698,E0162206,A mission to study the behavior of the planet's ring system and its effect on surrounding moons and asteroids.
M6585703,Hidden Treasures,2070-06-28,,E1783092,E7947414,A joint mission with the Cultural Affairs Department to study unique cultural artifacts on one of Caliban's moons.
M0580925,Project Tempest,2072-09-15,2073-12-10,E9901102,E0380472,An exploratory mission to study the geological features of Zephyr and investigate reports of underground electrical activity.
M6837234,Search for Safe Harbor,2074-08-31,,E1783092,E8367340,A reconnaissance mission to survey potential landing sites for a permanent settlement.
M5444361,Project Eden,2063-01-15,2064-05-10,E2676502,E4232170,"A mission to study the unique biodiversity of Aurora, with a focus on aquatic and avian species."
M0954609,Deep Dive,2067-03-15,2068-02-20,E3357916,E0162206,An exploratory mission to investigate underwater cave systems on Aurora and study their geological features.
M9009386,Project Glacier,2048-01-01,2049-04-01,E1783092,E7947414,An exploratory mission to study the geological features of Frostbite and investigate reports of underground water sources.
M9890497,Operation Icicle,2070-06-28,,E0477498,E0380472,A mission to retrieve a stranded spacecraft and rescue its crew from one of Frostbite's moons.
M2986704,Project Lightning,2066-01-05,2067-06-30,E8541698,E7947414,A mission to study the planet's electrical storms and their potential impact on the planet's moons.
M2612566,Eye on the Universe,2069-09-01,,E6428947,E0162206,A reconnaissance mission to survey potential sites for a long-range telescope on one of Thunderstorm's moons.
M0273691,Project Volcano,2072-07-21,2072-09-22,E7843495,E0162206,Study the volcanic activity and collect samples of lava for analysis. This mission will be conducted remotely using unmanned probes.
M2831733,Project Glimpse,2074-08-27,,E8961035,E8367340,Launch a satellite into orbit around Grimhilde to survey the planet's surface. The data collected will be used to identify potential landing sites.
M9904187,Project Chasm,2072-09-30,2072-10-22,E5085375,E4232170,Explore the series of deep chasms on Grimhilde. Collect samples of the rock and analyze it using remote sensing technology.
M3287824,Project Heat,2070-03-27,2072-03-30,E3357916,E7947414,Study the intense heat generated by Grimhilde's volcanoes. Send a team of astronauts to collect samples and collect data on the planet's geology.
M3970870,Operation Icicle,2042-08-23,,E7870753,E0380472,Establish a research station on the surface of Revenant. Study the moon's ice formations and its potential as a source of water for future space missions.
M4559964,Operation Rime,2075-04-15,2075-11-22,E7910907,E0380472,Investigate the unusual crystal formations on Revenant. Search for signs of extraterrestrial life and study the moon's effect on the gas giant it orbits.
M7753387,Operation Avalanche,2064-10-11,2065-02-08,E3357916,E0380472,Scout the surface for potential landing sites for future missions. Study the geological and environmental factors of Revenant.
M1172566,Project Atlas,2040-09-01,2043-07-28,E5085375,E4232170,"Send a probe to map the planet's surface, collect data on its atmosphere, and search for signs of alien life."
M3337989,Project Explorer,2063-02-14,2065-12-22,E7843495,E0380472,Send a manned mission to orbit Calendula and study its moon. Analyze the planet's magnetic field and solar wind.
M2376004,Project Insight,2068-11-01,2074-06-30,E7843495,E7947414,"Send a team of astronauts to the surface of Calendula. Study the planet's geology, search for signs of extraterrestrial life, and study the planet's atmosphere."
M0296810,Project Odyssey,2038-06-06,,E7870753,E8367340,Send a probe to scan the planet's magnetic field and solar wind. Collect data on the planet's geology and atmosphere.
M5027302,Project Nimbus,2060-10-02,2062-08-17,E3357916,E8367340,Study the planet's atmosphere and collect data on its composition. Launch a series of balloons to measure the atmospheric pressure and temperature.
M5850924,Project Phantasm,2075-11-01,,E2842201,E0162206,Send a probe to study the planet's magnetic field and search for signs of extraterrestrial life. Investigate the radiation levels near Cressida.
M5293369,Project Cloudbreak,2050-03-14,2053-02-17,E3487347,E4232170,Launch a series of rockets to study the planet's cloud patterns. Collect samples of the planet's atmosphere and study its chemical composition.
M1996053,Project Gale,2074-04-01,,E7843495,E8367340,Establish a research station on the surface of one of Cressida's moons. Study the planet's rings and collect data on the moon's geological patterns.
M2331179,Rock Hound,2060-02-15,2060-06-15,E8961035,E4232170,Mining mission to extract rare earth metals.
M7998747,Star Tracker,2061-05-02,2061-08-05,E3357916,E0162206,Astronomical observation mission to study the blue giant star.
M6708562,Moon Explorer,2067-01-15,,E9901102,E4232170,"A mission to explore one of Cyrigosa’s moons, studying its geology and biology."
M1434499,Ring Observer,2072-03-23,2072-06-23,E5085375,E7947414,A mission to study the formation and behavior of Cyrigosa’s ring system.
M4302694,Dry Spell,2071-10-13,2072-03-14,E7843495,E4232170,A mission to collect samples from the unique rock formations and study the planet’s geological history.
M3395764,Solar Sweep,2073-01-19,2074-03-02,E2676502,E0162206,A mission to study the planet’s solar winds and their effects on Xilary’s atmosphere.
M3719328,Ring Explorer,2041-10-17,,E5502287,E0380472,"An extended mission to study Celestina’s ring system, its composition and origins."
M6644353,Magnetic Probe,2051-08-12,2052-01-05,E1783092,E8367340,A mission to study the magnetic field of the planet and collect data on space weather phenomena caused by it.
M4924363,Mineral Collector,2074-01-23,2074-04-27,E1783092,E8367340,"A mission to collect rare minerals, study their origin and composition, and analyze their possible applications in space technology."
M5667295,Atmospheric Surveyor,2069-02-01,,E6428947,E4232170,"An ongoing mission to study the planet’s atmosphere and weather patterns, with the goal of understanding how to best protect future colonies from harsh environments."
M3759240,Habitable Worlds Survey,2068-05-10,2069-07-15,E9901102,E4232170,"A mission to search for potentially habitable planets in nearby star systems, with Proxima B as the primary target."
M8304851,Exoplanet Explorer,2073-09-02,,E3357916,E7947414,"An ongoing mission to study Proxima B’s environment, including its atmosphere, geology, and potential for habitability."
M5089801,Frozen Frontier,2073-09-30,,E3357916,E7947414,"A mission to explore Elios’ unique ice formations, study its geological history, and search for signs of past or present microbial life."
M6730425,Aurora Hunter,2055-11-11,2056-02-21,E7843495,E0162206,A mission to study the planet’s auroras and their relationship with its magnetic field.
